#MSM,Aba-Sah Dadzie(9),Milan Stankovic(8),Matthew Rowe 0001(7),Amparo Elizabeth Cano Basave(4),Giuseppe Rizzo 0002(3),Markus Strohmaier(3),Andrea Varga(3),Zhemin Zhu(2),Amparo Elizabeth Cano(2),Mena B. Habib(2)
ACES-MB&WUCOR@MoDELS,Florian Noyrit(2),Iulia Dragomir(2),Marcela Genero(2),Yvan Labiche(2),Iulian Ober(2),Maged Elaasar(2),Susanne Graf(2),Damiano Torre(2),Gabor Karsai(2),Vincent Aravantinos(1)
ACFIE,Sizong Guo(6),Chengyi Zhang(6),Si-zong Guo(5),Bing-yuan Cao 0001(4),Sheng-quan Ma(4),Shi-Zhong Bai(4),Zhixiang Yin(3),Jiaoping Yang(3),Yu-bin Zhong(3),Qi Niu(3)
ACG,H. Jaap van den Herik(15),Mark H. M. Winands(9),Tomoyuki Kaneko(7),Jos W. H. M. Uiterwijk(7),Tristan Cazenave(7),Martin Müller 0003(7),Yngvi Björnsson(6),Hiroyuki Iida(5),Olivier Teytaud(5),Tsan-sheng Hsu(4)
ACII,Rosalind W. Picard(22),Jonathan Gratch(21),Jean-Claude Martin(20),Nadia Bianchi-Berthouze(19),Björn W. Schuller(19),Georgios N. Yannakakis(16),Catherine Pelachaud(15),Jianhua Tao(15),Peter Robinson 0001(14),Jeffrey F. Cohn(12)
ACIIDS (3),Kun Chang Lee(6),Shahriar Lotfi(3),Do Young Choi(2),Yung-Chun Liu(2),Yung-Nien Sun(2),Kiem Hoang(2),Amirhossein Ghodrati(2),Junghoon Lee(2),Wojciech Maleika(2),Hiep Phuc Luong(2)
ACIIDS (Companion),Mislav Balkovic(3),Leo Mrsic(3),Filip Holík(2),Vladimir Sobeslav(2),Hrvoje Jerkovic(2),Jian Li(2),Pawel Stefaniak(2),Wen Qiang Liu(2),Josef Horalek(2),Ling Wang(2)
ACISP,Willy Susilo(32),Ed Dawson(30),Josef Pieprzyk(28),Reihaneh Safavi-Naini(28),Colin Boyd(26),Yi Mu 0001(24),Vijay Varadharajan(19),Huaxiong Wang(16),Feng Bao 0001(14),Keisuke Tanaka(13)
ACITY (2),J. K. Mandal(2),Dhinaharan Nagamalai(2),S. Kanmani(2),P. Dhavachelvan(2),Md. Faizan Farooqui(2),Meena Sharma(2),Md. Rizwan Beg(2),P. S. Sathidevi 0001(2),B. K. Tripathy(2),R. G. Babukarthik(2)
ACIVS,Wilfried Philips(52),Peter H. N. de With(18),Jacques Blanc-Talon(18),Salah Bourennane(16),Dan C. Popescu(15),Paul Scheunders(15),Peter Veelaert(14),Aleksandra Pizurica(13),Pavel Zemcík(9),Etienne E. Kerre(9)
ACL (1),Ming Zhou 0001(28),Graham Neubig(22),Maosong Sun(21),Zhiyuan Liu 0001(20),Noah A. Smith(20),Heng Ji(20),Jun Zhao 0001(19),Chris Dyer(19),Christopher D. Manning(18),Eduard H. Hovy(18)
ACL (4),Jonathan May(2),Yue Zhang 0004(2),Jie Yang 0039(2),André F. T. Martins(2),Ulrich Germann(2),Ulf Hermjakob(2),Kevin Knight(2),Stephen Mayhew 0001(1),Alexis Palmer(1),Saravanan Krishnan(1)
ACL (Companion Volume),R. Harald Baayen(1),Choy-Kim Chuah(1),Mark T. Maybury(1),Rolf Backofen(1),Cristina Bosco(1),Ielka van der Sluis(1),Kiyoshi Sudo(1),Christian Retoré(1),Sofia Stamou(1),James Pustejovsky(1)
ACL (Poster and Demonstration),Jason S. Chang(2),Srinivas Bangalore(2),David Yarowsky(2),Diane J. Litman(1),Roger Evans(1),Reinhard Rapp(1),José Lorenzo(1),Akane Yakushiji(1),Jan Blatak(1),Rie Kubota Ando(1)
ACL (Student Session),Aaron Michelony(1),Sebastian Sulger(1),Yinggong Zhao(1),Awais Athar(1),Gregory Brown(1),Thomas Meyer 0003(1),Oliver S. Schneider(1),Hajime Senuma(1),Charles F. Greenbacker(1),Daniel Emilio Beck(1)
ACL (System Demonstrations),Iryna Gurevych(9),Torsten Zesch(4),Feiyu Xu(4),Jason S. Chang(4),Gerhard Weikum(3),Hans Uszkoreit(3),Matteo Negri(3),Ido Dagan(3),Richard Eckart de Castilho(3),Alessandro Moschitti(3)
ACL/IJCNLP (Software Demonstrations),Sebastian Varges(1),Giuseppe Riccardi(1),João Ricardo Silva(1),Anette Frank(1),Philipp Koehn(1),B. Ashok(1),Chris Callison-Burch(1),Susumu Akamine(1),Sadao Kurohashi(1),Alexei V. Ivanov(1)
ACL/IJCNLP (Student Research Workshop),Caixia Yuan(1),Jyun-Wei Huang(1),Fuji Ren(1),Henriette Engelken(1),Tsuyoshi Okita 0002(1),Justin Liang-Te Chiu(1),Elijah Mayfield(1),Chen Chen(1),Yefeng Wang(1),Houfeng Wang(1)
ACLING,Khaled Shaalan(9),Samhaa R. El-Beltagy(7),Aqil M. Azmi(3),Hind Saddiki(3),Nora Madi(2),Azalden Alakrot(2),Ismaïl Biskri(2),Karim Bouzoubaa(2),Mourad Abbas(2),Abed Alhakim Freihat(2)
ACM,Dahlia Malkhi(1),Adele Goldberg(1),Oded Goldreich 0001(1)
ACM DEV (4),William D. Tucker(5),Jay Chen(3),Aaditeshwar Seth(2),Antoine B. Bagula(2),Syed Ishtiaque Ahmed(2),Vinay J. Ribeiro(2),Mitchell Sundt(2),Gaetano Borriello(2),Elizabeth M. Belding(2),Carlos Rey-Moreno(2)
ACM DL,Hsinchun Chen(7),Edward A. Fox(6),Bruce R. Schatz(6),Hector Garcia-Molina(6),Ian H. Witten(6),Gary Marchionini(5),Andreas Paepcke(5),Carl Lagoze(4),Catherine C. Marshall(4),James C. French(4)
ACM J. Educ. Resour. Comput.,Josh D. Tenenberg(8),Robert McCartney(8),Mike Joy(3),Brian Hanks(3),William Yurcik(3),Stephen H. Edwards(2),Lisa Meeden(2),Deborah A. Frincke(2),Hsinchun Chen(2),Peter Brusilovsky(2)
ACM J. Exp. Algorithmics,Dorothea Wagner(20),Peter Sanders 0001(13),Gonzalo Navarro(12),Markus Chimani(7),Christos D. Zaroliagis(6),Frank Schulz 0001(6),Petra Mutzel(5),Renato Fonseca F. Werneck(5),Thomas Willhalm(4),David A. Bader(4)
ACM Multimedia (2),Ahmed H. Tewfik(3),Wendy Hall(3),Lynda Hardman(2),Lloyd Rutledge(2),Alexandros Eleftheriadis(2),B. Prabhakaran(2),Shin'ichi Satoh(2),Mark Claypool(2),Chow-Sing Lin(2),Michael S. Lew(2)
ACM Multimedia (Thematic Workshops),Xian-Sheng Hua 0001(3),Jia-Ching Wang(2),James Z. Wang(2),Chenliang Xu(2),Chen Yan(2),Chang Zhou(2),Lifeng Sun(2),Hamed Ahmadi(2),Marcel Worring(2),Pablo César(2)
ACM Multimedia Workshops,HongJiang Zhang(4),Shuichi Sakai(3),Reiko Hamada(3),Ichiro Ide(3),Fuzong Lin(2),Mingjing Li(2),Yukinobu Yasugi(2),Aidong Zhang(2),Wenyin Liu(2),Wei-Ying Ma(2)
ACM Policy,Keith W. Miller(2),Deborah G. Johnson(2),Daniel Lin(1),Jeff Johnson(1),Jean-François Blanchette(1),C. Dianne Martin(1),Marc Rotenberg(1),Leslie Regan Shade(1),Barry S. Fagin(1),Florence Appel(1)
ACM SIGAPL APL Quote Quad,Clifford A. Reiter(8),Raymond P. Polivka(5),Alexander O. Skomorokhov(4),Vladimir Kutinsky(4),Stephen M. Mansour(3),Ajay Askoolum(2),Prithviraj Banerjee(2),Manuel Alfonseca(2),Pramod G. Joisha(2),Pedro de Almeida(2)
ACM SIGMOD Anthology,Richard T. Snodgrass(4),Oris Friesen(1),Hugh Darwen(1),M. Tamer Özsu(1),Michael Ley(1),James A. Weeldreyer(1),Stephen Henley(1)
ACM SIGMOD Digit. Rev.,Richard T. Snodgrass(8),H. V. Jagadish(7),Claudio Bettini(5),Dennis E. Shasha(5),Elisa Bertino(5),Timos K. Sellis(5),Ouri Wolfson(4),Alberto O. Mendelzon(4),Sophie Cluet(4),Divesh Srivastava(4)
ACM SIGMOD Workshop on Research Issues in Data Mining and Knowledge Discovery,Divyakant Agrawal(1),Raymond T. Ng(1),Sanjay Chawla(1),Diane Lambert(1),Carlos Ordonez 0001(1),Ioana Stanoi(1),H. V. Jagadish(1),Anupam Joshi(1),Weili Wu(1),Changzhou Wang(1)
ACM SIGOPS European Workshop,John Wilkes(10),Michel Banâtre(9),Robbert van Renesse(9),Andrew S. Tanenbaum(8),M. Frans Kaashoek(8),Jean Bacon(7),Gilles Muller(7),Trent Jaeger(7),Jochen Liedtke(7),Mahadev Satyanarayanan(7)
ACM SIGSOFT Softw. Eng. Notes,Peter G. Neumann(108),Mark Doernhoefer(93),Peter B. Henderson(45),Robert Schaefer(44),Alex Groce(30),Will Tracz(28),Larry Bernstein(24),Michael Wing(24),Mark A. Ardis(23),Yogesh Singh(23)
ACM Southeast Regional Conference (2),D. Scott McCrickard(3),Deborah A. Frincke(2),Narsingh Deo(2),Gail-Joon Ahn(2),Yoshito Kanamori(2),Chia-Chu Chiang(2),Seong-Moo Yoo(2),Richard W. Tibbs(2),Boumediene Belkhouche(2),Taskin Koçak(2)
ACM Stand.,Carl Cargill(13),Giancarlo Succi(7),Andrea Valerio(4),Tullio Vernazza(4),Paolo Predonzani(3),Henry Lowe(3),David Arnold 0001(2),E. James Whitehead Jr.(2),Stephen R. Walli(2),Kai Jakobs(2)
ACM Symposium on Document Engineering,David F. Brailsford(22),Steven J. Simske(21),Maria da Graça Campos Pimentel(17),Steven R. Bagley(16),Dick C. A. Bulterman(16),Uwe M. Borghoff(13),Kim Marriott(13),Helen Balinsky(12),John W. Lumley(12),Luiz Fernando Gomes Soares(12)
ACM Trans. Algorithms,Saket Saurabh 0001(23),Daniel Lokshtanov(21),Mohammad Taghi Hajiaghayi(14),Fedor V. Fomin(14),Guy Kortsarz(13),Dániel Marx(13),Mikkel Thorup(9),Pankaj K. Agarwal(9),Haim Kaplan(9),Uri Zwick(9)
ACM Trans. Archit. Code Optim.,Lieven Eeckhout(20),André Seznec(12),Jingling Xue(11),Mateo Valero(11),Yuan Xie 0001(10),Hai Jin 0001(10),Henk Corporaal(9),Michael F. P. O'Boyle(9),Rajiv Gupta 0001(9),Albert Cohen 0001(9)
ACM Trans. Asian Lang. Inf. Process.,Chung-Hsien Wu(8),Gary Geunbae Lee(8),Eiichiro Sumita(5),Hitoshi Isahara(5),Noriko Kando(5),Jianfeng Gao(5),Tetsuya Sakai(4),Naoaki Okazaki(4),Kentaro Inui(4),Kam-Fai Wong(4)
ACM Trans. Asian Low Resour. Lang. Inf. Process.,Chengqing Zong(14),Guodong Zhou(9),Eiichiro Sumita(8),Jiajun Zhang(7),Masao Utiyama(7),Pushpak Bhattacharyya(6),Seung-Hoon Na(6),Chenchen Ding(5),Dien Dinh(4),Min Zhang 0005(4)
ACM Trans. Comput. Heal.,Gunnar Pope(1),Mihaela van der Schaar(1),Sarah Lord(1),Shunan Guo(1),Elad Yom-Tov(1),Markus Willems(1),Aman Mahajan(1),Jay Vaidya(1),Tanja Döring(1),Daniel A. Epstein(1)
ACM Trans. Comput. Syst.,Henry M. Levy(12),Mahadev Satyanarayanan(11),Kenneth P. Birman(11),Todd C. Mowry(8),Brian N. Bershad(8),Thomas E. Anderson(8),Donald Yeung(7),Robbert van Renesse(7),M. Frans Kaashoek(7),Willy Zwaenepoel(6)
ACM Trans. Economics and Comput.,Tim Roughgarden(9),R. Preston McAfee(7),Yishay Mansour(6),Moshe Tennenholtz(6),Michal Feldman(6),Yiling Chen(6),Ian A. Kash(5),Nisarg Shah 0001(5),Ariel D. Procaccia(5),David C. Parkes(4)
ACM Trans. Inf. Syst.,Tat-Seng Chua(15),Maarten de Rijke(14),W. Bruce Croft(12),Liqiang Nie(11),Hsinchun Chen(10),Bin Cui 0001(9),Yiqun Liu 0001(9),Shaoping Ma(8),Justin Zobel(8),Min Zhang 0006(8)
ACM Trans. Intell. Syst. Technol.,Dacheng Tao(12),Xuelong Li(10),Shuicheng Yan(9),Xing Xie 0001(9),Enhong Chen(8),Steven C. H. Hoi(8),Qiang Yang 0001(8),Jinhui Tang(7),Hui Xiong 0001(7),Tat-Seng Chua(7)
ACM Trans. Manag. Inf. Syst.,Hsinchun Chen(8),Ram D. Gopal(6),Hemant K. Jain(4),Kaushik Dutta(3),Rahul C. Basole(3),Paulo B. Góes(3),Jaideep Vaidya(3),Michael Chau(3),Atish P. Sinha(3),Zhu Zhang(3)
ACM Trans. Math. Softw.,Iain S. Duff(27),Robert J. Renka(22),Robert A. van de Geijn(21),Jennifer A. Scott(21),Fred T. Krogh(20),Timothy A. Davis 0001(18),Jack J. Dongarra(18),John K. Reid(17),John R. Rice(15),Bo Kågström(15)
ACM Trans. Model. Perform. Evaluation Comput. Syst.,Don Towsley(4),Emilio Leonardi(4),Sanjay Shakkottai(3),Giuliano Casale(3),Zongpeng Li(3),John C. S. Lui(3),Chuan Wu(2),Fangming Liu(2),R. Srikant 0001(2),Philippe Nain(2)
ACM Trans. Soc. Comput.,Yoram M. Kalman(2),Salvador Ruiz-Correa(2),Yla R. Tausczik(2),Daniel Gatica-Perez(2),Walid Magdy(2),Elena Simperl(2),Markus Strohmaier(2),Xuefei (Nancy) Deng(2),Kevin Crowston(2),Philip Branch(1)
ACM Trans. Web,Ismail Sengör Altingövde(5),Ryen W. White(5),Wolfgang Nejdl(4),Ben Y. Zhao(4),Ingmar Weber(4),Wei-Ying Ma(4),Xing Xie 0001(4),Berkant Barla Cambazoglu(4),Niloy Ganguly(3),Bernard J. Jansen(3)
ACM Workshop on Role-Based Access Control,Ravi S. Sandhu(17),John F. Barkley(6),David F. Ferraiolo(5),Trent Jaeger(5),Edward J. Coyne(4),Luigi Giuri(4),D. Richard Kuhn(4),Konstantin Beznosov(3),Joon S. Park(3),Jonathon Tidswell(3)
ACM-GIS,Hanan Samet(8),Nectaria Tryfona(5),Shashi Shekhar(5),Walid G. Aref(5),Paola Magillo(5),Max J. Egenhofer(5),Leila De Floriani(5),Dimitris Papadias(4),Enrico Puppo(4),Clodoveu A. Davis Jr.(3)
ACM-TURING,Barbara J. Grosz(1),Alan C. Kay(1),Butler W. Lampson(1),David A. Patterson(1),Barbara Liskov(1),Vint Cerf(1),Judea Pearl(1),Adi Shamir(1),Richard M. Karp(1),John White(1)
ACNS,Jianying Zhou 0001(15),Moti Yung(12),Reihaneh Safavi-Naini(10),David Pointcheval(10),Serge Vaudenay(9),Mark Manulis(9),Willy Susilo(9),Feng Bao 0001(8),Angelos D. Keromytis(8),Gene Tsudik(8)
ACOMP,Nam Thoai(10),Tran Khanh Dang(10),Lam-Son Lê(8),Cuong Pham-Quoc(6),Tran Ngoc Thinh(5),Quang Tran Minh 0001(5),Hoang-Anh Pham(4),Ha Manh Tran(4),Van Sinh Nguyen(4),Long-Phuoc Ton(4)
ACPR (2),Umapada Pal 0001(4),Wei Qi Yan 0001(3),Balasubramanian Raman(2),Partha Pratim Roy 0001(2),Mengjie Zhang(2),Reinhard Klette(2),Seong-Whan Lee(2),Shang-Hong Lai(2),Yoshio Iwai(2),Masashi Nishiyama(2)
ACPR Workshops,Harvey Ho(2),Ralf Reulke(2),Thanh-Hai Tran(2),Wei Qi Yan 0001(2),Huong-Giang Doan(2),Jinsheng Xiao(2),Jian Zhou 0011(1),Qianqing Qin(1),Takashi Ohnishi(1),Hideaki Haneishi(1)
ACRI,Stefania Bandini(33),Katsuhiro Nishinari(25),Bastien Chopard(19),Georgios Ch. Sirakoulis(19),Hiroshi Umeo(16),Salvatore Di Gregorio(16),Dipanwita Roy Chowdhury(16),Parimal Pal Chaudhuri(14),Sukanta Das(14),Biplab K. Sikdar(14)
ACRIT,Salama A. Mostafa(4),Aida Mustapha(3),Mohammed Khalaf(3),Muhammad Nazim Razali(2),Alexei Lisitsa(2),Ahmed T. Sadiq(2),Dhiya Al-Jumeily(2),Shihab Hamad Khaleefah(2),Dhafar Hamed Abd(2),Santosh Gaikwad(2)
ACS,Shin-ya Kobayashi(5),Wlodzimierz Bielecki(5),Larysa Globa(5),Galina Cariowa(5),Jerzy Pejas(5),Imed El Fray(4),Izabela Rejer(4),Marek Palkowski(4),Aleksandr Cariow(4),Andrzej Piegat(4)
ACSAC,Giovanni Vigna(28),Ravi S. Sandhu(20),Christopher Kruegel(20),Peng Liu 0005(15),Thorsten Holz(14),Patrick D. McDaniel(13),Sushil Jajodia(13),Richard A. Kemmerer(12),John P. McDermott(12),Trent Jaeger(12)
ACSD/Petri Nets Workshops,Monika Heiner(3),Maciej Koutny(2),Steve Hostettler(2),José Manuel Colom(2),João M. Fernandes(2),Wojciech Penczek(2),Alexis Marechal(2),Jetty Kleijn(2),Matteo Risoldi(2),Marco Mascheroni(2)
ACSE,Lawrence Nderu(6),Tony Greening(6),Alan D. Fekete(4),Angela Carbone(4),Dorcas Gicuku Mwigereri(3),Jeffrey H. Kingston(3),Helen C. Purchase(3),Peter Summons(3),Judy Kay(3),David A. Carrington(3)
ACSS (1),Nabendu Chaki(15),Khalid Saeed 0001(14),Rituparna Chaki(13),Rajat Kumar Pal(8),Agostino Cortesi(6),Amlan Chakrabarti(5),Sarmistha Neogy(3),Anirban Sarkar(3),Debotosh Bhattacharjee(3),Ranjan Mehera(3)
ACSSC,Georgios B. Giannakis(23),Robert W. Heath Jr.(23),P. P. Vaidyanathan(20),Daniel W. Bliss(19),Keshab K. Parhi(19),Joseph R. Cavallaro(18),Todd K. Moon(18),Geert Leus(17),Jacob H. Gunther(16),Alejandro Ribeiro(15)
ACST,Flavio Lucio Pontecorvo(2),Pedro Ponce-Cruz(2),Yi Lu(2),Shiyong Lu(2),Qussay A. Salih(2),Ira S. Moskowitz(1),Karel Slávicek(1),John Paulin Hansen(1),Raúl Pinto-Elías(1),Roberto Herrera(1)
ACSW,Dale Patterson(9),Tony Sahama(8),Jian Yu(8),Sira Yongchareon(7),Colin J. Fidge(7),Colin Boyd(7),Ed Dawson(7),Ernest Foo(7),Audun Jøsang(6),Andrew Stranieri(6)
ACTEA,Ahmed G. Radwan(11),Ahmed H. Madian(8),Lobna A. Said(6),Naji Khoury(6),Roger Achkar(5),Gérard-Philippe Zéhil(5),Chady Ghnatios(5),Yara Maalouf(4),Roy Abi Zeid Daou(4),Ahmed S. Elwakil(3)
ACVI@MoDELS,Peter H. Feiler(2),Pierre Dissaux(2),Jürgen Dingel(1),Emilio Insfrán(1),Huafeng Yu(1),Silvia Abrahão(1),Bruce Lewis(1),John Mullins(1),Stéphane Rubini(1),Zhibin Yang(1)
ACiD,Michael A. Langston(4),David F. Manlove(3),Faisal N. Abu-Khzam(2),Matthew Johnson 0002(2),Frances A. Rosamond(2),Henning Fernau(2),Hajo Broersma(2),Stefan Szeider(2),Michael R. Fellows(2),Gregory Z. Gutin(2)
ACoTA,Rick Rabiser(2),Maurice H. ter Beek(1),Paul Grünbacher(1),Goetz Botterweck(1),David Benavides(1),José Angel Galindo(1),Richard Mordinyi(1),Stefan Biffl(1),Sergio Segura(1),Gerald Holl(1)
ADAG,Peter Schnorf(1)
ADBIS (local proceedings),Andrzej Sikorski(1),Patrycja Wegrzynowicz(1),M. Tamer Özsu(1),Klaus R. Dittrich(1),Emmanuel J. Yannakoudakis(1),Paolo Atzeni(1),Albertas Caplinskas(1),Andrea Gualtieri(1),Pavel Loupal(1),Luigi Pontieri(1)
ADBIS Workshops,Robert Susmaga(2),Václav Snásel(2),Piotr Palka(2),Przemyslaw Gawel(2),Krzysztof Dembczynski(2),Andrzej Jaszkiewicz(2),Piotr Zielniewicz(2),Martin Radvanský(2),Przemyslaw Wesolek(1),Abdelkamel Tari(1)
ADBIS-DASFAA,Evaggelia Pitoura(2),Enrico Nardelli(2),Hiroyuki Kitagawa(2),Kjetil Nørvåg(2),Bill Vassiliadis(2),Yannis Manolopoulos(2),Christos Makris(2),Yoshiharu Ishikawa(2),Athanasios K. Tsakalidis(2),Yasuo Ariki(1)
ADBIS/TPDL/EDA Workshops,Paolo Manghi(3),Maja Zumer(2),Dimitrios Skoutas(2),Mírian Halfeld Ferrari(2),Oscar Romero 0001(2),Elena Demidova(2),Laurent d'Orazio(2),Mária Bieliková(2),Thanasis Vergoulis(2),Christos Papatheodorou(2)
ADC,Xiaofang Zhou 0001(23),Yanchun Zhang(19),Hua Wang 0002(11),Heng Tao Shen(11),Klaus-Dieter Schewe(11),Xuemin Lin 0001(11),Bela Stantic(11),Jixue Liu(9),Jiuyong Li(9),Xiuzhen Zhang(9)
ADCOG,Cyril Tse Ning(3),Tony T. M. Kwan(2),Woosuk Ju(1),Jinchang Ren(1),Hee-Dong Chang(1),Kyung-Sik Kim(1),Sherman S. M. Chow(1),Chanil Moon(1),Eiman Kanjo(1),R. G. Yan(1)
ADECS @ Petri Nets,Mohamed Khalgui(2),Zhiwu Li(2),Mohamed Ghazel(1),Armand Toguyéni(1),Jiafeng Zhang(1),Ahmed Kheldoun(1),Samir Bourekkache(1),Murat Uzam(1),Karim Djouani(1),Allaoua Chaoui(1)
ADF@KDD,Alexander R. Statnikov(3),Tanveer A. Faruquie(2),Archana Anandakrishnan(2),Senthil Kumar(2),Di Xu(2),Nalin Aggarwal(1),Philip S. Yu(1),Amir Averbuch(1),Matthew Adelsberg(1),Ji Won Yoon(1)
ADHOC-NOW Workshops,Jaime Lloret 0001(3),Carlos D. Llorens(1),M. J. Jalaja(1),Muhammad Omer Farooq(1),Mariusz Gajewski(1),Farrukh Aslam Khan(1),Miguel García-Pineda(1),Jarmo Harju(1),Joona Kannisto(1),Luca Maria Gambardella(1)
ADL,Terence R. Smith(4),Fabio Crestani(4),Stephan Wiesener(4),Rudolf Bayer(3),Alexa T. McCray(3),Nabil R. Adam(3),Divyakant Agrawal(2),Catherine Plaisant(2),Wolfgang L. J. Kowarschick(2),Jeffrey B. Lotspiech(2)
ADMA,Shuliang Wang(12),Quan Z. Sheng(12),Xue Li 0001(10),Bin Wu 0001(10),Bohan Li 0001(10),Shichao Zhang(9),Hongyan Liu(8),Xue Li(7),Changjie Tang(7),Lina Yao(6)
ADMA (2),M. Tahar Kechadi(3),Zhongfu Wu(3),Philippe Fournier-Viger(3),Xiaoping Yang(2),Lian Yu(2),Juanjuan Chen(2),Vincent S. Tseng(2),Hai-Tao Zheng 0002(2),Shiliang Sun(2),Huijuan Lu(2)
ADNTIIC,Francisco V. Cipolla Ficarra(12),Miguel Cipolla-Ficarra(5),Carlos de-Castro-Lozano(4),Valeria M. Ficarra(4),Maria Claudia Buzzi(4),Marina Buzzi(4),Francisco Javier Burón Fernández(3),Silvia N. Schiaffino(3),Alejandro Zunino(3),Cristian Mateos(3)
ADPRL,Huaguang Zhang(10),Emanuel Todorov(9),Yanhong Luo(7),Sarangapani Jagannathan(7),Damien Ernst(7),Warren B. Powell(6),Lucian Busoniu(6),Evangelos A. Theodorou(6),Marco A. Wiering(6),Hao Xu 0002(5)
AES Conference,Vincent Rijmen(2),Nicolas T. Courtois(2),Hans Dobbertin(2),Yvo Desmedt(1),Ilia Toli(1),Aleksandra Sowa(1),Liam Keliher(1),Carlos Cid(1),Elisabeth Oswald(1),Johannes Wolkerstorfer(1)
AFEL@EC-TEL,Stefan Thalmann(4),Angela Fessl(4),Mathieu d'Aquin(3),Peter Holtz(2),Eduardo E. Veas(1),Stefan Dietze(1),Ilija Simic(1),Susana López-Sola(1),Belgin Mutlu(1),Joachim Kimmerle(1)
AFHA,Marcus Liwicki(4),Michael Blumenstein(4),George Economou(2),Muhammad Imran Malik(2),Elias N. Zois(2),Charles E. H. Berger(2),Erika Griechisch(2),Reinoud Stoel(2),Srikanta Pal(2),Bryan Found(2)
AFPAC,Gerald Sommer(8),Gösta H. Granlund(3),Jan J. Koenderink(3),Joan Lasenby(3),Yehoshua Y. Zeevi(3),Cornelia Fermüller(2),Ekaterina Rundblad(2),Bodo Rosenhahn(2),Nir A. Sochen(2),Yiwen Zhang(2)
AFRA-Verlag,Mathias Müller(1)
AFRICACRYPT,Abderrahmane Nitaj(12),Amr M. Youssef(9),François-Xavier Standaert(7),Bart Preneel(7),Peter Schwabe(7),Johannes A. Buchmann(6),David Pointcheval(6),Lejla Batina(5),Meiqin Wang(5),Willi Meier(5)
AFRICON,Gerhard P. Hancke 0001(14),Fambirai Takawira(13),Yskandar Hamam(12),Adedayo Ademola Yusuff(10),Bolanle Tolulope Abe(10),Khmaies Ouahada(9),Kazeem B. Adedeji(8),Innocent E. Davidson(8),Thomas Joachim Odhiambo Afullo(8),Dereje Hailemariam(8)
AGDM,Martien Molenaar(3),Christopher M. Gold(1),Stephen C. Hirtle(1),Alia I. Abdelmoty(1),Volker Walter 0001(1),Michel Mainguenaud(1),Geoffrey Edwards(1),Mark Gahegan(1),Klaus Tempfli(1),Michela Bertolotto(1)
AGI,Ben Goertzel(49),Kristinn R. Thórisson(22),Pei Wang 0002(17),Alexey Potapov(15),Patrick Hammer(14),Jürgen Schmidhuber(12),Claes Strannegård(12),Matthew Iklé(11),Bas R. Steunebrink(10),Marcus Hutter(10)
AGTIVE,Gabriele Taentzer(16),Mark Minas(12),Bernhard Westfechtel(10),Claudia Ermel(7),Andy Schürr(7),Rubino Geiß(6),Arend Rensink(5),Albert Zündorf(5),Hans-Jörg Kreowski(5),Felix H. Gatzemeier(5)
AH,Tsutomu Terada(26),Jun Rekimoto(24),Suranga Nanayakkara(24),Masahiko Inami(22),Masahiko Tsukamoto(21),Hiroyuki Kajimoto(17),Barry Smyth(15),Kai Kunze(14),Yoichi Ochiai(13),Michitaka Hirose(13)
AI Mag.,Carol Hamilton(59),Carol McKenna Hamilton(25),Jonathan Glick(25),Milind Tambe(19),David B. Leake(17),Sara Reese Hedberg(15),Manuela M. Veloso(14),Sven Koenig(13),Kenneth D. Forbus(13),Toby Walsh(13)
AI Matters,Amy McGovern(21),Michael Rovatsos(19),Eric Eaton(15),Larry R. Medsker(12),Todd W. Neller(10),Yolanda Gil(8),Nicholas Mattei(8),Sven Koenig(7),Iolanda Leite(7),Sanmay Das(6)
AI for Data Center Management and Cloud Computing,Yannick Le Nir(1),Mohamed Rezgui(1),Gordon Rios(1),Paolo Cremonesi(1),Florent Devin(1),Stefano Gualandi(1),Yang Xu(1),Zhongzhi Shi(1),Yuxiong He(1),Peio Loubière(1)
AI*HCI@AI*IA,Cristina Gena(2),Marino Segnan(1),Elisa Chiabrando(1),Gianluca Torta(1),Laura Vincze(1),Andrea Crevola(1),Isabella Poggi(1),Federica Cena(1),Monica Perrero(1),Fabio Abbattista(1)
AI-AM/NetMed@ECAI,Stavros J. Perantonis(2),Paolo Sernani(2),Aldo Franco Dragoni(2),Constantine D. Spyropoulos(2),José Alejandro Cordero(1),Georgios Meditskos(1),Mahmut Ozsahin(1),Thanos G. Stavropoulos(1),Ioannis Kompatsiaris(1),Matjaz Gams(1)
AI-IoT@ECAI,Laura Sebastia(2),Jesús Ibáñez-Ruiz(2),Eva Onaindia(2),Georgios Pierris(1),Carme Zambrana(1),Xavier Rafael Palou(1),Alexander Artikis(1),Antonio Garrido Tejero(1),Herman Bruyninckx(1),Wannes Meert(1)
AI4I,Rodrigo C. M. Santos(4),Márcio Ferreira Moreno(4),Alexander Verl(4),Akos Csiszar(3),Florian Jaensch(2),Bo Liu(2),Peter Shaw 0001(2),Amit Kumar Saha(2),Wallas Henrique S. dos Santos(2),Shuai Zhang 0009(2)
AI4KM@ECAI,Eunika Mercier-Laurent(2),Antoni Ligeza(2),Olivier Sébastien(1),Andrei-Adnan Ismail(1),Francis Rousseaux(1),Adina Magda Florea(1),Konstantin M. Golubev(1),Noël Conruyt(1),Véronique Sébastien(1),Mieczyslaw L. Owoc(1)
